file:///D:/documents/Programming/maui/maui-gui/videos/velocityType1.AVI,frame number,time(seconds),xLocation,peak positive(pixels),mean positive(pixels),mean negative(pixels),peak negative(pixels),peak all(pixels), mean all(pixels),peak positive(cm/s),mean positive(cm/s),mean negative(cm/s),peak negative(cm/s),peak all(cm/s),mean all(cm/s)
,41,1.14286,143.667,46,26,0,0,46,26,24.4681,13.8298,0,0,24.4681,13.8298
,41,1.14286,144.333,46,26,0,0,46,26,24.4681,13.8298,0,0,24.4681,13.8298
,41,1.14286,145,42,24,0,0,42,24,22.3404,12.766,0,0,22.3404,12.766
,42,1.17143,146,38,22,0,0,38,22,20.2128,11.7021,0,0,20.2128,11.7021
,42,1.17143,147,34,19,0,0,34,19,18.0851,10.1064,0,0,18.0851,10.1064
,42,1.17143,148,38,19,0,0,38,19,20.2128,10.1064,0,0,20.2128,10.1064
,42,1.17143,149,41,24,0,0,41,24,21.8085,12.766,0,0,21.8085,12.766
,43,1.2,150,43,25,0,0,43,25,22.8723,13.2979,0,0,22.8723,13.2979
,43,1.2,150.667,46,27,0,0,46,27,24.4681,14.3617,0,0,24.4681,14.3617
,43,1.2,151.333,46,27,0,0,46,27,24.4681,14.3617,0,0,24.4681,14.3617
,43,1.2,152,49,30,0,0,49,30,26.0638,15.9574,0,0,26.0638,15.9574
,44,1.22857,153,49,30,0,0,49,30,26.0638,15.9574,0,0,26.0638,15.9574
,44,1.22857,154,48,29,0,0,48,29,25.5319,15.4255,0,0,25.5319,15.4255
,44,1.22857,155,51,31,0,0,51,31,27.1277,16.4894,0,0,27.1277,16.4894
,44,1.22857,156,50,32,0,0,50,32,26.5957,17.0213,0,0,26.5957,17.0213
,45,1.25714,157,47,30,0,0,47,30,25,15.9574,0,0,25,15.9574
,45,1.25714,157.667,46,27,0,0,46,27,24.4681,14.3617,0,0,24.4681,14.3617
,45,1.25714,158.333,46,27,0,0,46,27,24.4681,14.3617,0,0,24.4681,14.3617
,45,1.25714,159,46,25,0,0,46,25,24.4681,13.2979,0,0,24.4681,13.2979
,46,1.28571,160,45,25,0,0,45,25,23.9362,13.2979,0,0,23.9362,13.2979
,46,1.28571,161,41,24,0,0,41,24,21.8085,12.766,0,0,21.8085,12.766
,46,1.28571,162,41,25,0,0,41,25,21.8085,13.2979,0,0,21.8085,13.2979
,46,1.28571,163,41,24,0,0,41,24,21.8085,12.766,0,0,21.8085,12.766
,47,1.31429,164,40,24,0,0,40,24,21.2766,12.766,0,0,21.2766,12.766
,47,1.31429,164.667,40,23,0,0,40,23,21.2766,12.234,0,0,21.2766,12.234
,47,1.31429,165.333,40,23,0,0,40,23,21.2766,12.234,0,0,21.2766,12.234
,47,1.31429,166,39,23,0,0,39,23,20.7447,12.234,0,0,20.7447,12.234
,48,1.34286,167,37,21,0,0,37,21,19.6809,11.1702,0,0,19.6809,11.1702
,48,1.34286,168,36,21,0,0,36,21,19.1489,11.1702,0,0,19.1489,11.1702
,48,1.34286,169,36,22,0,0,36,22,19.1489,11.7021,0,0,19.1489,11.7021
,48,1.34286,170,36,22,0,0,36,22,19.1489,11.7021,0,0,19.1489,11.7021
,49,1.37143,171,35,22,0,0,35,22,18.617,11.7021,0,0,18.617,11.7021
,49,1.37143,171.667,35,20,0,0,35,20,18.617,10.6383,0,0,18.617,10.6383
,49,1.37143,172.333,35,20,0,0,35,20,18.617,10.6383,0,0,18.617,10.6383
,49,1.37143,173,35,20,0,0,35,20,18.617,10.6383,0,0,18.617,10.6383
,50,1.4,174,35,20,0,0,35,20,18.617,10.6383,0,0,18.617,10.6383
,50,1.4,175,32,19,0,0,32,19,17.0213,10.1064,0,0,17.0213,10.1064
,50,1.4,176,34,20,0,0,34,20,18.0851,10.6383,0,0,18.0851,10.6383
,50,1.4,177,36,22,0,0,36,22,19.1489,11.7021,0,0,19.1489,11.7021
,51,1.42857,178,36,22,0,0,36,22,19.1489,11.7021,0,0,19.1489,11.7021
,51,1.42857,179,35,22,0,0,35,22,18.617,11.7021,0,0,18.617,11.7021
,51,1.42857,180,32,21,0,0,32,21,17.0213,11.1702,0,0,17.0213,11.1702
,51,1.42857,181,35,21,0,0,35,21,18.617,11.1702,0,0,18.617,11.1702
,52,1.45714,182,37,21,0,0,37,21,19.6809,11.1702,0,0,19.6809,11.1702
,52,1.45714,182.667,37,21,0,0,37,21,19.6809,11.1702,0,0,19.6809,11.1702
,52,1.45714,183.333,37,21,0,0,37,21,19.6809,11.1702,0,0,19.6809,11.1702
,52,1.45714,184,35,20,0,0,35,20,18.617,10.6383,0,0,18.617,10.6383
,53,1.48571,185,34,19,0,0,34,19,18.0851,10.1064,0,0,18.0851,10.1064
,53,1.48571,186,36,21,0,0,36,21,19.1489,11.1702,0,0,19.1489,11.1702
,53,1.48571,187,36,22,0,0,36,22,19.1489,11.7021,0,0,19.1489,11.7021
,53,1.48571,188,36,22,0,0,36,22,19.1489,11.7021,0,0,19.1489,11.7021
,54,1.51429,189,37,23,0,0,37,23,19.6809,12.234,0,0,19.6809,12.234
,54,1.51429,189.667,37,22,0,0,37,22,19.6809,11.7021,0,0,19.6809,11.7021
,54,1.51429,190.333,37,22,0,0,37,22,19.6809,11.7021,0,0,19.6809,11.7021
,54,1.51429,191,38,24,0,0,38,24,20.2128,12.766,0,0,20.2128,12.766
,55,1.54286,192,38,25,0,0,38,25,20.2128,13.2979,0,0,20.2128,13.2979
,55,1.54286,193,39,25,0,0,39,25,20.7447,13.2979,0,0,20.7447,13.2979
,55,1.54286,194,38,24,0,0,38,24,20.2128,12.766,0,0,20.2128,12.766
,55,1.54286,195,37,22,0,0,37,22,19.6809,11.7021,0,0,19.6809,11.7021
,56,1.57143,196,38,22,0,0,38,22,20.2128,11.7021,0,0,20.2128,11.7021
,56,1.57143,196.667,37,23,0,0,37,23,19.6809,12.234,0,0,19.6809,12.234
,56,1.57143,197.333,37,23,0,0,37,23,19.6809,12.234,0,0,19.6809,12.234
,56,1.57143,198,36,22,0,0,36,22,19.1489,11.7021,0,0,19.1489,11.7021
